url;Pases;Pases_link;In Migrant Es 1;In Migrant Es 2;In Migrant Es 3;In Migrant Es 4;
https://datosmacro.expansion.com/demografia/migracion/inmigracion?anio=1990;Reino Unido [+];https://datosmacro.expansion.com/demografia/migracion/inmigracion/uk?anio=1990;1.756.448;1.893.838;3.650.286;6;37%
https://datosmacro.expansion.com/demografia/migracion/inmigracion?anio=1990;República Centroafricana [+];https://datosmacro.expansion.com/demografia/migracion/inmigracion/republica-centroafricana?anio=1990;35.686;31.548;67.234;2;31%
https://datosmacro.expansion.com/demografia/migracion/inmigracion?anio=1990;República Checa [+];https://datosmacro.expansion.com/demografia/migracion/inmigracion/republica-checa?anio=1990;57.405;52.989;110.394;1;7%
https://datosmacro.expansion.com/demografia/migracion/inmigracion?anio=1990;República de Macedonia [+];https://datosmacro.expansion.com/demografia/migracion/inmigracion/macedonia?anio=1990;39.661;55.481;95.142;5;3%
https://datosmacro.expansion.com/demografia/migracion/inmigracion?anio=1990;República del Congo [+];https://datosmacro.expansion.com/demografia/migracion/inmigracion/congo?anio=1990;64.418;65.179;129.597;5;84%
https://datosmacro.expansion.com/demografia/migracion/inmigracion?anio=1990;República Democrática del Congo [+];https://datosmacro.expansion.com/demografia/migracion/inmigracion/republica-democratica-congo?anio=1990;363.117;391.077;754.194;2;18%
https://datosmacro.expansion.com/demografia/migracion/inmigracion?anio=1990;República Dominicana [+];https://datosmacro.expansion.com/demografia/migracion/inmigracion/republica-dominicana?anio=1990;181.677;109.474;291.151;4;9%
https://datosmacro.expansion.com/demografia/migracion/inmigracion?anio=1990;Ruanda [+];https://datosmacro.expansion.com/demografia/migracion/inmigracion/ruanda?anio=1990;80.690;79.179;159.869;2;48%
https://datosmacro.expansion.com/demografia/migracion/inmigracion?anio=1990;Rumanía [+];https://datosmacro.expansion.com/demografia/migracion/inmigracion/rumania?anio=1990;57.601;78.224;135.825;0;59%
https://datosmacro.expansion.com/demografia/migracion/inmigracion?anio=1990;Rusia [+];https://datosmacro.expansion.com/demografia/migracion/inmigracion/rusia?anio=1990;5.655.422;5.869.526;11.524.948;7;81%
https://datosmacro.expansion.com/demografia/migracion/inmigracion?anio=1990;Samoa [+];https://datosmacro.expansion.com/demografia/migracion/inmigracion/samoa?anio=1990;1.771;1.586;3.357;2;6%
https://datosmacro.expansion.com/demografia/migracion/inmigracion?anio=1990;San Cristóbal y Nieves [+];https://datosmacro.expansion.com/demografia/migracion/inmigracion/san-cristobal-nieves?anio=1990;1.642;1.568;3.210;7;83%
https://datosmacro.expansion.com/demografia/migracion/inmigracion?anio=1990;San Marino [+];https://datosmacro.expansion.com/demografia/migracion/inmigracion/san-marino?anio=1990;1.728;1.582;3.310;13;77%
https://datosmacro.expansion.com/demografia/migracion/inmigracion?anio=1990;San Vicente y las Granadinas [+];https://datosmacro.expansion.com/demografia/migracion/inmigracion/san-vicente-las-granadinas?anio=1990;1.928;2.042;3.970;3;75%
https://datosmacro.expansion.com/demografia/migracion/inmigracion?anio=1990;Santa Lucía [+];https://datosmacro.expansion.com/demografia/migracion/inmigracion/santa-lucia?anio=1990;2.616;2.689;5.305;3;96%
https://datosmacro.expansion.com/demografia/migracion/inmigracion?anio=1990;Santo Tomé y Príncipe [+];https://datosmacro.expansion.com/demografia/migracion/inmigracion/santo-tome-principe?anio=1990;2.953;2.629;5.582;4;90%
https://datosmacro.expansion.com/demografia/migracion/inmigracion?anio=1990;Senegal [+];https://datosmacro.expansion.com/demografia/migracion/inmigracion/senegal?anio=1990;138.840;131.570;270.410;3;56%
https://datosmacro.expansion.com/demografia/migracion/inmigracion?anio=1990;Serbia [+];https://datosmacro.expansion.com/demografia/migracion/inmigracion/serbia?anio=1990;46.712;52.557;99.269;1;31%
https://datosmacro.expansion.com/demografia/migracion/inmigracion?anio=1990;Seychelles [+];https://datosmacro.expansion.com/demografia/migracion/inmigracion/seychelles?anio=1990;2.204;1.517;3.721;5;32%
https://datosmacro.expansion.com/demografia/migracion/inmigracion?anio=1990;Sierra Leona [+];https://datosmacro.expansion.com/demografia/migracion/inmigracion/sierra-leona?anio=1990;123.053;99.189;222.242;5;27%
https://datosmacro.expansion.com/demografia/migracion/inmigracion?anio=1990;Singapur [+];https://datosmacro.expansion.com/demografia/migracion/inmigracion/singapur?anio=1990;345.842;381.420;727.262;23;87%
https://datosmacro.expansion.com/demografia/migracion/inmigracion?anio=1990;Siria [+];https://datosmacro.expansion.com/demografia/migracion/inmigracion/siria?anio=1990;364.077;350.063;714.140;5;61%
https://datosmacro.expansion.com/demografia/migracion/inmigracion?anio=1990;Somalia [+];https://datosmacro.expansion.com/demografia/migracion/inmigracion/somalia?anio=1990;244.201;234.093;478.294;6;47%
https://datosmacro.expansion.com/demografia/migracion/inmigracion?anio=1990;Sri Lanka [+];https://datosmacro.expansion.com/demografia/migracion/inmigracion/sri-lanka?anio=1990;23.423;18.138;41.561;0;26%
https://datosmacro.expansion.com/demografia/migracion/inmigracion?anio=1990;Suazilandia [+];https://datosmacro.expansion.com/demografia/migracion/inmigracion/suazilandia?anio=1990;38.992;33.093;72.085;9;27%
https://datosmacro.expansion.com/demografia/migracion/inmigracion?anio=1990;Sudáfrica [+];https://datosmacro.expansion.com/demografia/migracion/inmigracion/sudafrica?anio=1990;717.227;446.656;1.163.883;3;16%
https://datosmacro.expansion.com/demografia/migracion/inmigracion?anio=1990;Sudán [+];https://datosmacro.expansion.com/demografia/migracion/inmigracion/sudan?anio=1990;696.385;706.511;1.402.896;5;45%
https://datosmacro.expansion.com/demografia/migracion/inmigracion?anio=1990;Sudán del Sur [+];https://datosmacro.expansion.com/demografia/migracion/inmigracion/sudan-del-sur?anio=1990;0;0;0;0%;
https://datosmacro.expansion.com/demografia/migracion/inmigracion?anio=1990;Suecia [+];https://datosmacro.expansion.com/demografia/migracion/inmigracion/suecia?anio=1990;383.085;405.682;788.767;9;18%
https://datosmacro.expansion.com/demografia/migracion/inmigracion?anio=1990;Suiza [+];https://datosmacro.expansion.com/demografia/migracion/inmigracion/suiza?anio=1990;701.110;691.172;1.392.282;20;60%
https://datosmacro.expansion.com/demografia/migracion/inmigracion?anio=1990;Surinam [+];https://datosmacro.expansion.com/demografia/migracion/inmigracion/surinam?anio=1990;9.731;8.300;18.031;4;42%
https://datosmacro.expansion.com/demografia/migracion/inmigracion?anio=1990;Tailandia [+];https://datosmacro.expansion.com/demografia/migracion/inmigracion/tailandia?anio=1990;283.486;245.207;528.693;0;94%
https://datosmacro.expansion.com/demografia/migracion/inmigracion?anio=1990;Tanzania [+];https://datosmacro.expansion.com/demografia/migracion/inmigracion/tanzania?anio=1990;283.390;290.635;574.025;2;32%
https://datosmacro.expansion.com/demografia/migracion/inmigracion?anio=1990;Tayikistán [+];https://datosmacro.expansion.com/demografia/migracion/inmigracion/tayikistan?anio=1990;188.128;240.772;428.900;8;12%
https://datosmacro.expansion.com/demografia/migracion/inmigracion?anio=1990;Timor Oriental [+];https://datosmacro.expansion.com/demografia/migracion/inmigracion/timor-oriental?anio=1990;4.450;4.504;8.954;1;19%
https://datosmacro.expansion.com/demografia/migracion/inmigracion?anio=1990;Togo [+];https://datosmacro.expansion.com/demografia/migracion/inmigracion/togo?anio=1990;42.903;41.941;84.844;2;31%
https://datosmacro.expansion.com/demografia/migracion/inmigracion?anio=1990;Tonga [+];https://datosmacro.expansion.com/demografia/migracion/inmigracion/tonga?anio=1990;1.488;1.423;2.911;3;6%
https://datosmacro.expansion.com/demografia/migracion/inmigracion?anio=1990;Trinidad y Tobago [+];https://datosmacro.expansion.com/demografia/migracion/inmigracion/trinidad-tobago?anio=1990;23.528;27.138;50.666;4;15%
https://datosmacro.expansion.com/demografia/migracion/inmigracion?anio=1990;Túnez [+];https://datosmacro.expansion.com/demografia/migracion/inmigracion/tunez?anio=1990;18.900;19.084;37.984;0;46%
https://datosmacro.expansion.com/demografia/migracion/inmigracion?anio=1990;Turkmenistán [+];https://datosmacro.expansion.com/demografia/migracion/inmigracion/turkmenistan?anio=1990;134.174;172.326;306.500;8;32%
https://datosmacro.expansion.com/demografia/migracion/inmigracion?anio=1990;Turquía [+];https://datosmacro.expansion.com/demografia/migracion/inmigracion/turquia?anio=1990;577.329;586.357;1.163.686;2;5%
https://datosmacro.expansion.com/demografia/migracion/inmigracion?anio=1990;Tuvalu [+];https://datosmacro.expansion.com/demografia/migracion/inmigracion/tuvalu?anio=1990;180;138;318;3;53%
https://datosmacro.expansion.com/demografia/migracion/inmigracion?anio=1990;Ucrania [+];https://datosmacro.expansion.com/demografia/migracion/inmigracion/ucrania?anio=1990;2.953.603;3.939.317;6.892.920;13;28%
https://datosmacro.expansion.com/demografia/migracion/inmigracion?anio=1990;Uganda [+];https://datosmacro.expansion.com/demografia/migracion/inmigracion/uganda?anio=1990;290.084;268.223;558.307;3;54%
https://datosmacro.expansion.com/demografia/migracion/inmigracion?anio=1990;Uruguay [+];https://datosmacro.expansion.com/demografia/migracion/inmigracion/uruguay?anio=1990;45.830;52.286;98.116;3;14%
https://datosmacro.expansion.com/demografia/migracion/inmigracion?anio=1990;Uzbekistán [+];https://datosmacro.expansion.com/demografia/migracion/inmigracion/uzbekistan?anio=1990;723.618;929.382;1.653.000;8;6%
https://datosmacro.expansion.com/demografia/migracion/inmigracion?anio=1990;Vanuatu [+];https://datosmacro.expansion.com/demografia/migracion/inmigracion/vanuatu?anio=1990;1.269;1.039;2.308;1;56%
https://datosmacro.expansion.com/demografia/migracion/inmigracion?anio=1990;Venezuela [+];https://datosmacro.expansion.com/demografia/migracion/inmigracion/venezuela?anio=1990;517.579;507.430;1.025.009;5;28%
https://datosmacro.expansion.com/demografia/migracion/inmigracion?anio=1990;Vietnam [+];https://datosmacro.expansion.com/demografia/migracion/inmigracion/vietnam?anio=1990;15.230;12.888;28.118;0;4%
https://datosmacro.expansion.com/demografia/migracion/inmigracion?anio=1990;Yemen [+];https://datosmacro.expansion.com/demografia/migracion/inmigracion/yemen?anio=1990;67.010;51.853;118.863;0;98%
https://datosmacro.expansion.com/demografia/migracion/inmigracion?anio=1990;Yibuti [+];https://datosmacro.expansion.com/demografia/migracion/inmigracion/yibuti?anio=1990;64.242;57.979;122.221;20;70%
https://datosmacro.expansion.com/demografia/migracion/inmigracion?anio=1990;Zambia [+];https://datosmacro.expansion.com/demografia/migracion/inmigracion/zambia?anio=1990;142.807;136.222;279.029;3;48%
https://datosmacro.expansion.com/demografia/migracion/inmigracion?anio=1990;Zimbabue [+];https://datosmacro.expansion.com/demografia/migracion/inmigracion/zimbabue?anio=1990;352.028;274.793;626.821;6;41%
